Country,Population,GDP,Life_expectancy,Region,Year,Year_num
Afghanistan,5021241,4292539162,27.2,Asia & Pacific,01/01/1900 0:00:00,1900
Albania,819950,1106309599,35.4,Europe,01/01/1900 0:00:00,1900
Algeria,4946166,17398870335,28.9,Arab States,01/01/1900 0:00:00,1900
Angola,2898155,2779799699,27,Africa,01/01/1900 0:00:00,1900
Antigua and Barbuda,34925,46010213,33.5,South/Latin America,01/01/1900 0:00:00,1900
Argentina,4756635,17464739456,36.8,South/Latin America,01/01/1900 0:00:00,1900
Armenia,855313,788235792,35.9,CIS,01/01/1900 0:00:00,1900
Aruba,29311,43506588,34.4,South/Latin America,01/01/1900 0:00:00,1900
Australia,3743708,23971633337,49.9,Asia & Pacific,01/01/1900 0:00:00,1900
Austria,5979725,30501064067,41.5,Europe,01/01/1900 0:00:00,1900
Azerbaijan,1825639,2891995668,31.1,CIS,01/01/1900 0:00:00,1900
Bahamas,53102,136475520,35.2,South/Latin America,01/01/1900 0:00:00,1900
Bahrain,76158,164280277,30.3,Arab States,01/01/1900 0:00:00,1900
Bangladesh,29230699,26433750617,21.8,Asia & Pacific,01/01/1900 0:00:00,1900
Barbados,191121,317004768,32.1,South/Latin America,01/01/1900 0:00:00,1900
Belarus,4917314,6247401192,36.2,CIS,01/01/1900 0:00:00,1900
Belgium,6761724,36229171101,46.6,Europe,01/01/1900 0:00:00,1900
Belize,36114,37657656,26.5,South/Latin America,01/01/1900 0:00:00,1900
Benin,1390018,1266842991,31,Africa,01/01/1900 0:00:00,1900
Bhutan,136235,102149823,28.8,Asia & Pacific,01/01/1900 0:00:00,1900
Bolivia,1826432,3211617133,33,South/Latin America,01/01/1900 0:00:00,1900
Bosnia and Herzegovina,1712007,1247725624,35.1,Europe,01/01/1900 0:00:00,1900
Botswana,122551,73206339,33.6,Africa,01/01/1900 0:00:00,1900
Brazil,18103489,14244370540,32,South/Latin America,01/01/1900 0:00:00,1900
Bulgaria,3992259,8552072556,40.2,Europe,01/01/1900 0:00:00,1900
Burkina Faso,2977810,1625870058,29.2,Africa,01/01/1900 0:00:00,1900
Burundi,1589452,793639868,31.5,Africa,01/01/1900 0:00:00,1900
Cambodia,2859326,2739741179,35,Asia & Pacific,01/01/1900 0:00:00,1900
Cameroon,2360984,2166254546,28.8,Africa,01/01/1900 0:00:00,1900
Canada,5530806,26049372008,48.3,North America,01/01/1900 0:00:00,1900
Cape Verde,113570,88126481,33.8,Africa,01/01/1900 0:00:00,1900
Chad,1471357,916337611,30.9,Africa,01/01/1900 0:00:00,1900
Chile,2981489,8993517676,32,South/Latin America,01/01/1900 0:00:00,1900
China,395184556,318705187654,32,Asia & Pacific,01/01/1900 0:00:00,1900
Colombia,4109030,3692133594,32,South/Latin America,01/01/1900 0:00:00,1900
Comoros,105128,90973418,32.1,Arab States,01/01/1900 0:00:00,1900
Costa Rica,297910,582340977,34.7,South/Latin America,01/01/1900 0:00:00,1900
Croatia,2483124,7157474306,36.1,Europe,01/01/1900 0:00:00,1900
Cuba,1762227,9234849792,33.1,South/Latin America,01/01/1900 0:00:00,1900
Cyprus,235257,551932065,41.8,Europe,01/01/1900 0:00:00,1900
Denmark,2557581,11862644250,52,Europe,01/01/1900 0:00:00,1900
Djibouti,42078,39391817,29.9,Arab States,01/01/1900 0:00:00,1900
Ecuador,1455093,3134186195,32.9,South/Latin America,01/01/1900 0:00:00,1900
Egypt,10065298,23339428895,33,Arab States,01/01/1900 0:00:00,1900
El Salvador,774733,1519255888,28.7,South/Latin America,01/01/1900 0:00:00,1900
Equatorial Guinea,105183,47164500,29.8,Africa,01/01/1900 0:00:00,1900
